Protocolo_S2iD,Nome_Municipio,Sigla_UF,regiao,Data_Registro,Data_Evento,Cod_Cobrade,tipologia,descricao_tipologia,grupo_de_desastre,Cod_IBGE_Mun,Setores Censitários,Status,DH_Descricao,DH_MORTOS,DH_FERIDOS,DH_ENFERMOS,DH_DESABRIGADOS,DH_DESALOJADOS,DH_DESAPARECIDOS,DH_AFETADOS_SECA_ESTIAGEM,DH_total_danos_humanos_diretos,DH_OUTROS AFETADOS,DM_Descricao,DM_Uni Habita Danificadas,DM_Uni Habita Destruidas,DM_Uni Habita Valor,DM_Inst Saúde Danificadas,DM_Inst Saúde Destruidas,DM_Inst Saúde Valor,DM_Inst Ensino Danificadas,DM_Inst Ensino Destruidas,DM_Inst Ensino Valor,DM_Inst Serviços Danificadas,DM_Inst Serviços Destruidas,DM_Inst Serviços Valor,DM_Inst Comuni Danificadas,DM_Inst Comuni Destruidas,DM_Inst Comuni Valor,DM_Obras de Infra Danificadas,DM_Obras de Infra Destruidas,DM_Obras de Infra Valor,DM_total_danos_materiais,DA_Descricao,DA_Polui/cont da água,DA_Polui/cont do ar,DA_Polui/cont do solo,DA_Dimi/exauri hídrico,DA_Incêndi parques/APA's/APP's,PEPL_Descricao,PEPL_Assis_méd e emergên(R$),PEPL_Abast de água pot(R$),PEPL_sist de esgotos sanit(R$),PEPL_Sis limp e rec lixo (R$),PEPL_Sis cont pragas (R$),PEPL_distrib energia (R$),PEPL_Telecomunicações (R$),PEPL_Tran loc/reg/l_curso (R$),PEPL_Distrib combustíveis(R$),PEPL_Segurança pública (R$),PEPL_Ensino (R$),PEPL_total_publico,PEPR_Descricao,PEPR_Agricultura (R$),PEPR_Pecuária (R$),PEPR_Indústria (R$),PEPR_Comércio (R$),PEPR_Serviços (R$),PEPR_total_privado,PE_PLePR
RS-F-4310207-13214-20231030,Ijuí,RS,Sul,08/11/2023,30/10/2023,13214,13.00,Chuvas Intensas,Hidrológico,4310207,"431020730000003, 431020710000003, 431020730000002, 431020730000004, 431020710000004, 431020725000003, 431020725000002, 431020705000089, 431020707000004, 431020707000002, 431020707000003, 431020708000002, 431020708000003, 431020705000088, 431020740000002, 431020727000002, 431020727000001, 431020710000002, 431020737000004, 431020737000003, 431020705000099, 431020707000005",Reconhecido,"Conforme laudo da Assistência Social, salienta-se que toda a população rural foi afetada com o evento, ou seja, aproximadamente 7.000 pessoas, uma vez que devido às estradas estarem intransitáveis houve dificuldade de locomoção, afetando o transporte escolar, o recolhimento do leite nas propriedades e o escoamento produtivo de grãos, causando o atolamento dos veículos.",0,0,0,0,0,0,0,0,7000,"Houve danos em pontes, bueiros, cabeceiras e estradas rurais. Totalizam o montante de 300 km de danos em estradas rurais, aproximadamente. Com 439 demandas registradas no tocante ao evento.",0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,439,2005507.24,2005507.24,,,,,,,"Houve danos em pontes, bueiros, cabeceiras e estradas rurais. Totalizam o montante de 300 km de danos em estradas rurais, aproximadamente. Com 439 demandas registradas no tocante ao evento. Os recursos destinados desta finalidade são referentes aos gastos públicos em combustível, pessoal e mobilização de máquinas e equipamentos terceirizados.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,2005507.24,0.00,0.00,0.00,2005507.24,"Perdas registradas, conforme laudo da Emater, na agricultura e na atividade leiteira.",41532846.06,8446463.77,0.00,0.00,0.00,49979309.82,51984817.07
RS-F-4320321-13214-20231030,Senador Salgado Filho,RS,Sul,06/11/2023,30/10/2023,13214,13.00,Chuvas Intensas,Hidrológico,4320321,"432032115000002, 432032115000001, 432032115000003, 432032112000004, 432032105000002, 432032105000004, 432032105000001, 432032112000005, 432032105000003, 432032110000002, 432032110000003, 432032110000001, 432032112000003, 432032112000001, 432032112000002",Reconhecido,"Tendo em vista a grande quantidade de chuvas que ocorreu, todos os munícipes foram afetados, uma vez que as estradas estavam intransitáveis pelo entupimento dos bueiros que gerou atoleiro e alagamento de estradas, atingindo, inclusive, uma resistências, afetando, também, o deslocamento das pessoas, bem como dificultou e impediu que o transporte escolar buscasse os alunos para as aulas.",0,0,0,0,0,0,0,0,2673,O desastre causou danos em 156km de estradas vicinais e danificou 30 bueiros.,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,30,348741.82,348741.82,,,,,,,O desastre causou danos em 156km de estradas vicinais e danificou 30 bueiros.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,348741.82,0.00,0.00,0.00,348741.82,"Conforme laudo da Emater, tivemos perdas significativas nas culturas de trigo e canola e na agropecuária com o leite. As perdas são decorrentes dos excessos de chuvas e refletem diretamente na renda dos produtores, bem como na receita obtida pelo município.",7932021.33,1036365.27,0.00,0.00,0.00,8968386.60,9317128.42
RS-F-4312708-13214-20231101,Nonoai,RS,Sul,10/11/2023,01/11/2023,13214,13.00,Chuvas Intensas,Hidrológico,4312708,,Registro,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RS-F-4316105-13214-20231102,Ronda Alta,RS,Sul,07/11/2023,02/11/2023,13214,13.00,Chuvas Intensas,Hidrológico,4316105,"431610505000027, 431610505000042, 431610505000041, 431610505000038, 431610505000026, 431610505000021, 431610505000019, 431610505000022, 431610505000023, 431610505000036, 431610505000014, 431610505000015, 431610505000001, 431610505000003, 431610505000012, 431610505000011, 431610505000004, 431610505000008, 431610505000007, 431610505000005, 431610505000010, 431610505000032, 431610505000024, 431610505000018, 431610505000033, 431610510000001, 431610505000006, 431610510000003, 431610505000025, 431610510000002, 431610505000035, 431610505000020, 431610505000017, 431610505000002, 431610505000016, 431610505000034, 431610505000009, 431610505000039, 431610505000040, 431610505000044, 431610505000043, 431610505000029, 431610505000028, 431610505000030, 431610505000031, 431610505000037, 431610505000013",Reconhecido,"Conforme laudo da secretaria de assistência social, o evento atingiu nosso município em toda a área urbana e rural, com isso afetando toda a população do município, aproximadamente 2.557 famílias, 10.228 habitantes. Destas, 450 famílias, 1800 habitantes da área rural ficaram impossibilitados de acessar o perímetro urbano da cidade devido aos bloqueios das vias rurais, pois rios transbordaram impedindo a passagem, afetando essa população diretamente pois não conseguiam acessar serviços públicos como saúde e educação. Ainda na área rural a população sofreu com a falta de energia elétrica. Ainda tivemos afetados na área urbana da cidade que sofreram com falta de água, e enxurradas que causaram também bloqueia de vias no perímetro urbano. Destas, 60 famílias, 240 pessoas se encontram em situação de vulnerabilidade social, necessitando de um maior apoio do poder público para seu restabelecimento.",0,0,0,0,0,0,0,0,10228,"Conforme laudo da Engenharia, duas na Linha Vitória, duas nas Pedras Brancas sofreram danos em suas estrturas e uma ponte na Linha Vitória e uma ponte no Alto Recreio ficaram destruídas. Ainda 20 bueiros ficaram danificados e 15 bueiros destruídos. Ainda aproximadamente 800 km de vias rurais ficaram danificados.",0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,17,25,43593.26,43593.26,Os danos ambientais recorrem da grande erosão do solo causadas pelas enxurradas ocasionadas pelo grande volume de chucas.,DE 0% A 5% DA POPULAÇÃO AFETADA,,,,,"Conforme laudo da Obras e Infraestrutura o município aportou até o momento o valor aproximado de R$ 6.500,00 em limpeza urbana recolhimento e destinação do lixo. Somam-se a este valor, conforme laudo da Engenharia os danos/prejuízos nas estradas rurais, bueiros e pontes o valor aproximado de R$ 41.289,00.",0.00,0.00,0.00,6862.75,0.00,0.00,0.00,43593.26,0.00,0.00,0.00,50456.01,"Conforme laudo da Emater, os prejuízos na agricultura aproximam-se de R$ 18.170.000,00  e na pecuária R$ 1.547.700,00 totalizando o valor de R$ 19.717.700,00 em perdas.",19184030.83,1634074.00,0.00,0.00,0.00,20818104.83,20868560.84
RS-F-4305801-13214-20231102,Constantina,RS,Sul,08/11/2023,02/11/2023,13214,13.00,Chuvas Intensas,Hidrológico,4305801,"430580106000002, 430580114000003, 430580114000002, 430580107000006, 430580107000005, 430580107000002, 430580107000003, 430580107000004, 430580105000008, 430580105000009, 430580106000001, 430580114000001, 430580105000010, 430580105000007, 430580105000006, 430580107000001, 430580105000014, 430580105000013, 430580105000015, 430580105000012, 430580105000001, 430580105000002, 430580105000011, 430580105000004, 430580105000016, 430580105000003, 430580105000017, 430580105000005",Reconhecido,"Conforme laudo da secretaria de Assistência Social, nessa data, ocorreram fortes e intensas chuvas no Municipio acompanhadas com fortes ventos, com acumulados de aproximadamente 220 mm  em menos de 24 horas, causando múltiplos desastres como inundações, enxurradas e forte deslocamento de massa de ar,  afetando nosso município em toda a área rural e urbana, aproximadamente 2.435 famílias, 9.741 habitantes. Destas famílias, 830 famílias, 3.320 habitantes da área rural foram diretamente afetados pois ficaram com estradas rurais intransitáveis, bloqueadas, impossibilitando a locomoção dessas famílias, com isso ficaram impossibilitados de acessar serviços públicos como saúde, educação e comércio para comprar produtos de subsistência. No perímetro urbano, cabe informar que devido ao transbordamente do rio Taquaruçú, a ponte que liga o centro da cidade aos bairros também ficou bloqueada, impossibilitando a locomoção das pessoas. Ainda, devido ao evento, as aulas foram canceladas em toda a rede estadual e municipal, afetando com isso 100% dos alunos dos nível fundamental e médio. Desse total de famílias afetadas, 400 famílias, 1.600 habitantes encontram-se em situação de vulnerabilidade social, necessitando de uma maior atenção por parte de poder público para seu restabelecimento.",0,0,0,0,0,0,0,0,9741,"Conforme laudo da Engenharia, os danos/prejuízos causados pelo evento foram em 03 instalações públicas de ensino, 60 pontilhões, 280 bueiros e aproximadamente 271 km de estradas rurais.",0,0,0.00,0,0,0.00,0,0,21116.16,0,3,0.00,0,0,0.00,0,341,7720067.88,7741184.04,Os danos ambientais recorrem das erosões do solo causadas pelas fortes enxurradas e queda de árvores devidos os fortes ventos.,DE 0% A 5% DA POPULAÇÃO AFETADA,,,,,"Conforme laudo da secretaria de obras e viação, até o momento o município aportou o valor aproximado de R$ 12.300,00 em limpeza urbana recolhimento de destinação do lixo. Somam-se a este valor, conforme laudo da engenharia, danos/prejuízos  nas estradas rurais, bueiros e pontilhões e instalações públicas de ensino o valor aproximado de R$ 7.332.000,00.",0.00,0.00,0.00,12986.44,0.00,0.00,0.00,7720067.88,0.00,0.00,21116.16,7754170.48,"Conforme laudo da Emater, as intensas chuvas causaram prejuízos aproximado de R$ 9.000.000,00 na cultura do trigo.",9502271.74,0.00,0.00,0.00,0.00,9502271.74,17256442.22
RS-F-4304309-12200-20231102,Cândido Godói,RS,Sul,06/11/2023,02/11/2023,12200,2.00,Enxurradas,Hidrológico,4304309,"430430905000008, 430430905000009, 430430905000011, 430430905000012, 430430905000007, 430430905000010, 430430905000013, 430430905000015, 430430905000014, 430430905000005, 430430905000006, 430430905000016, 430430905000017",Reconhecido,"Ocorreu a destruição total das 03 pontes e 08 pontes danificadas parcialmente está prejudicando o deslocamento das pessoas residentes nas Linha Boa Vista, Secção C, Castelo Branco, São Miguel, São Bonifácio Olavo Bilac, Linha Dos Louros e comunidades vizinhas, além das pessoas que precisam deslocar-se para estas comunidades. As 03 pontes destruídas na Linha Boa Vista, sobre o Rio Amandaú, são pontes de ligação com o município vizinho de Santo Cristo, pelo interior, assim também a população deste município que circula por estas estradas estão tendo que buscar rotas alternativas. Das pontes danificadas a da Linha dos Louros, Rio Amandaú, liga Cândido Godói à Santa Rosa, pelo interior,  bem como a ponte danificada sobre o Lajeado Caçador da Linha Secção C é ligação com o Município de Campina das Missões, pelo interior, e a ponte do Rio Capoeira na divisa entre Secção C, prejudicando também o acesso da população, que reside nas proximidades, que precisa buscar rotas alternativas que acabam sendo muito mais distantes. Temos ainda prejudicada a circulação devido aos danos nas seguintes pontes: na comunidade Olavo Bilac ponte sobre o Lajeado Capoeira; Linha São Miguel ponte sobre o Lajeado Dúvida; Linha Castelo Branco ponte sobre o Lajeado Dúvida; Linha São Bonifácio ponte sobre o Lajeado Caçador: Linha São Bonifácio (baixa) ponte sobre o Lajeado Caçador; Linha São Bonifácio (baixa) ponte sobre o Lajeado Caçador. Também ocorreram danos em 473  metro de tubos de bueiros em toda a área rural do Município. Com a enxurrada e danos nas pontes o deslocamento de 1.200 pessoas  estão prejudicados quando necessitam buscar alimentação, medicação, ajuda médica e outros.",0,0,0,0,0,0,0,0,1200,"A enxurrada provocou a destruição total de 03 pontes e 08 pontes foram danificadas. As 03 pontes destruídas ficam na Linha Boa Vista, sobre o Rio Amandaú. De 08 pontes ocorrerem danos nas cabeceiras e ou planchas em em ambos:  na comunidade Olavo Bilac ponte sobre o Lajeado Capoeira; Linha São Miguel ponte sobre o Lajeado Dúvida; Linha Castelo Branco ponte sobre o Lajeado Dúvida; Linha São Bonifácio ponte sobre o Lajeado Caçador: Linha São Bonifácio (baixa) ponte sobre o Lajeado Caçador; Linha São Bonifácio (baixa) ponte sobre o Lajeado Caçador;  Linha dos Louros, ponte sobre o Rio Amandaú e  ponte sobre o Lajeado Caçador da Linha Secção C. Também ocorreram danos em 473  metro de tubos de bueiros em toda a área rural do Município.",0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,11,781297.90,781297.90,,,,,,,"A enxurrada provocou a destruição total de 03 pontes e 08 pontes foram danificadas. As 03 pontes destruídas ficam na Linha Boa Vista, sobre o Rio Amandaú. De 08 pontes ocorrerem danos nas cabeceiras e ou planchas em em ambos:  na comunidade Olavo Bilac ponte sobre o Lajeado Capoeira; Linha São Miguel ponte sobre o Lajeado Dúvida; Linha Castelo Branco ponte sobre o Lajeado Dúvida; Linha São Bonifácio ponte sobre o Lajeado Caçador: Linha São Bonifácio (baixa) ponte sobre o Lajeado Caçador; Linha São Bonifácio (baixa) ponte sobre o Lajeado Caçador;  Linha dos Louros, ponte sobre o Rio Amandaú e  ponte sobre o Lajeado Caçador da Linha Secção C. Também ocorreram danos em 473  metro de tubos de bueiros em toda a área rural do Município.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,781297.90,0.00,0.00,0.00,781297.90,Este evento não atingiu prejuízos significativos nesta áreas.,0.00,0.00,0.00,0.00,0.00,0.00,781297.90
RS-F-4300406-12200-20231102,Alegrete,RS,Sul,07/11/2023,02/11/2023,12200,2.00,Enxurradas,Hidrológico,4300406,"430040605000022, 430040605000023, 430040605000024, 430040605000027, 430040605000029, 430040605000001, 430040605000017, 430040605000025, 430040605000026, 430040605000021, 430040605000020, 430040605000019, 430040605000018, 430040605000028, 430040605000003, 430040605000004, 430040605000002, 430040605000009, 430040605000010, 430040605000012, 430040605000014, 430040605000015, 430040605000013, 430040605000008, 430040605000007, 430040605000006, 430040605000005, 430040610000007, 430040610000006, 430040610000003, 430040610000002, 430040610000005, 430040610000004, 430040605000016",Reconhecido,"Muitos alunos não puderam comparecer às escolas, bem como foram prejudicados trabalhadores das empresas de transporte de insumos da produção agrícola, do escoamento da safra de trigo, do plantio das cultivares de verão como arroz e soja e demais moradores das regiões rurais. Sendo estimado mil (1000) pessoas afetadas pelos eventos adversos.",0,0,0,0,0,0,0,0,1000,"Devido as enxurradas ocasionadas pelo excesso de chuvas, ocorreram vários danos, sendo estes principalmente nas estradas rurais não pavimentadas do município as quais fazem ligação tanto dos próprios subdistritos do município como municípios vizinhos.
Foram danificadas estradas dos subdistritos: Rompimento total da Estrada Passo do Silvestre - 5° subdistrito Inhanduí (Estrada que liga ao município de Itaqui), Rompimento total da Estrada da Lagoa Verde - 2° distrito Passo Novo, rompimento total da Estrada do São João - 2° distrito Passo Novo, rompimento total da Estrada Corredor Oswaldo Aranha - 3° Subdistrito Durasnal; Rompimento parcial estrada da Casa Preta - 8° Subdistrito Rincão de São Miguel; Alagamento Estrada Corredor da Estrela - 4° subdistrito Vasco Alves. Além do rompimento parcial e/ou total das vias também ocorreram agravamentos nas condições de trafegabilidade das vias sendo elas: estrada Corredor dos Leonardi - 4° subdistrito Vasco Alves; estrada Corredor Cirilo Calovi - 5° subdistrito Inhanduí; estradas Corredor da Trama e Estrada Passo do Osório - 3° Subdistrito Durasnal; Estrada Corredor da Palma, Estrada Corredor da Limeira e Estrada Corredor do Caiboaté - 8° Subdistrito rincão de são Miguel, estrada do Jacaraí - 5° subdistrito Inhanduí entre outros locais ainda não contabilizados.",0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,3,15,1361740.73,1361740.73,Não há.,,,,,,"Em decorrência das enxurradas houve graves danos às vias rurais não pavimentadas que fazem ligação da zona urbana do município com os demais distritos e subdistritos da zona rural assim como municípios vizinhos. Sendo necessário para recuperação de tais vias, a aplicação de bueiros, galerias, encascalhamento e laminação de várias estradas rurais.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,1361740.73,0.00,0.00,0.00,1361740.73,"Conforme laudos da EMATER/ASCAR e IRGA houve danos nas culturas de: alface, couve, beterraba, repolho, melancia, trigo e arroz, assim como danos na produção de pastagens para a pecuária de corte e pecuária de leite.",54292730.41,797177.25,0.00,0.00,0.00,55089907.66,56451648.38
RS-F-4301701-13214-20231103,Barão de Cotegipe,RS,Sul,03/11/2023,03/11/2023,13214,13.00,Chuvas Intensas,Hidrológico,4301701,"430170105000019, 430170105000018, 430170105000017, 430170105000016, 430170105000015, 430170105000014, 430170105000020, 430170105000012, 430170105000013, 430170105000002, 430170105000021, 430170105000001, 430170105000005, 430170105000004, 430170105000022, 430170105000003, 430170105000011",Reconhecido,"Podemos destacar que toda a área do município foi atingida pelas intercorrências do evento adverso, sendo 7.144 habitantes afetados direta ou indiretamente em função dos danos em estradas vicinais parcialmente danificadas e com queda de barreiras, 04 pontilhões danificados, 01 passarela ser totalmente danificada pela força das águas, 03 guardas corpos danificados, 04 trechos de muro de canalização de rio parcialmente danificados. Salientamos que do total desta população temos 92 famílias, sendo 370 pessoas em situação de vulnerabilidade social, conforme laudo da assistência  social. A prefeitura municipal vem trabalhando em ações de resposta, através da Coordenadoria Municipal de Proteção e Defesa Civil e as Secretarias Municipais, para suprir minimamente a demanda de reparos nas estradas e pontilhões atingidos pela enxurrada a fim de reestabelecer as condições básicas para a população.",0,0,0,0,0,0,0,0,7144,"Foi contabilizado pela Engenharia os seguintes danos públicos e privados ocasionados pelas chuvas intensas e em consequência das enxurradas e alagamentos, sendo: item 01: compreende 04 trechos de muro de canalização do rio que precisam ser reconstruídos; item 02: confecção e instalação de 03 guarda corpos totalmente danificados; item 03: confecção e instalação de 01 passarela totalmente danificada; item 04: envolve 04 pontilhões parcialmente danificados; item 05: compreende 65 km de estradas vicinais que foram danificadas pela força das águas; item 06: envolve 06 pontos de passagens de tubulação que deverão ser desobstruídos e 04 pontos de tubulação que deverão ser recolocados devido a enxurrada ter levado pela forte correnteza, além de 20 famílias terem suas residências invadidas pelas águas das chuvas e alagamentos, causando danos em móveis, roupas e colchões.",0,0,38009.09,0,20,0.00,0,0,0.00,0,0,0.00,0,0,0.00,2,4,393204.00,431213.09,,,,,,,"Foi contabilizado pela Engenharia os seguintes danos públicos e privados ocasionados pelas chuvas intensas e em consequência das enxurradas e alagamentos, sendo: 04 trechos de muro de canalização do rio; 04 pontilhões parcialmente danificados; 03 guardas corpos totalmente danificados; 01 passarela totalmente danificada; 65 km de estradas vicinais que foram danificadas pela força das águas; 06 pontos de passagens de tubulação que deverão ser desobstruídos e 04 pontos de tubulação que deverão ser recolocados devido a enxurrada ter levado pela forte correnteza.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,393204.00,0.00,0.00,0.00,393204.00,"Segundo dados da EMATER o evento se caracterizou por apresentar forte chuva acompanhada de vento, constatando perdas nas culturas de milho, trigo, aveia, canola, cevada, e frutíferas em geral, além de perdas na produção de leite devido a danos em pastagens. Onde foram atingidas 150 propriedades entre os dias 03 e 04 de novembro, acumulando neste intervalo de tempo 200mm de chuvas, medidas e coletadas na sede do município.",13916921.61,2969459.92,0.00,0.00,0.00,16886381.53,17279585.53
RS-F-4300901-13214-20231103,Aratiba,RS,Sul,08/11/2023,03/11/2023,13214,13.00,Chuvas Intensas,Hidrológico,4300901,"430090105000021, 430090118000002, 430090105000014, 430090130000002, 430090125000002, 430090105000015, 430090105000012, 430090105000013, 430090118000003, 430090118000004, 430090105000017, 430090105000016, 430090115000002, 430090115000003, 430090120000002, 430090118000001, 430090105000020, 430090105000009, 430090105000002, 430090105000003, 430090105000019, 430090105000001, 430090105000018, 430090105000008, 430090105000011, 430090105000010, 430090105000005, 430090105000007, 430090105000006, 430090105000004, 430090120000001, 430090125000001",Reconhecido,"Toda população foi atingida direta ou indiretamente pelo evento, uma das bases econômicas é o setor primário de produção, gravemente afetado, que vai refletir em todo  cadeia comercial,  devido a alta quantidade de chuva registrado no dia 03 de outubro, teve interrupção  nas estradas, em consequência a suspenção das aulas afetando 684 alunos da rede municipal de ensino; no  Município são 94 famílias em situação de vulnerabilidade que  juntas somam 312 pessoas, que recebem atendimento especial e contínuo do  governo municipal,  em especial momento devido ao rigoroso clima, pois  não contam com estrutura habitacionais suficientes para suportar as fortes chuvas registradas.",0,0,0,0,0,0,0,0,6568,"Os danos materiais remetem a  destruição das estradas, pontes e pontilhões bem como a remoção de barreiras e recuperação dos trechos.",0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,9,633484.78,633484.78,"Destaca-se o assoreamento dos rios e lagos através do carreamento de sedimentos, bem como a contaminação da água, que poderá levar ao desenvolvimento de doenças de veiculação hídrica. Diminuição na disponibilidade de oxigênio, prejudicando tanto plantas quanto as bactérias endo simbióticas; aumento na incidência e dispersão de doenças; lixiviação de nutrientes importantes através da erosão que causa grandes prejuízos.",MAIS DE 20% DA POPULAÇÃO AFETADA,,MAIS DE 20% DA POPULAÇÃO AFETADA,,,"As fortes chuvas danificaram as estradas  de terra do interior, em  alguns pontos até mesmo a pavimentação asfáltica foi afetada, nos acessos as pontes e bueiros a correnteza dos rios levou o material de contenção, impossibilitando a passagens de pessoas e veículos.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,633484.78,0.00,0.00,0.00,633484.78,"Segundo Dados da Emater-RS  a soma dos prejuízos do setor agrícola atinge os 4 milhões de reais, no setor pecuário os prejuízos chegam a 2 milhões de reais, no total se levarmos em consideração a perda da fertilidade do solo o valor chega a R$7.538.420,00.
OBS: dados comprovados em documento anexo.",4300749.30,3573909.98,0.00,0.00,0.00,7874659.29,8508144.07
RS-F-4308706-13214-20231103,Gaurama,RS,Sul,09/11/2023,03/11/2023,13214,13.00,Chuvas Intensas,Hidrológico,4308706,"430870605000007, 430870605000008, 430870605000006, 430870615000003, 430870605000016, 430870605000001, 430870605000013, 430870605000002, 430870605000003, 430870605000012, 430870605000004, 430870615000002, 430870615000001, 430870615000004, 430870605000010, 430870605000011, 430870605000009",Reconhecido,"Toda a população do município de Gaurama foi afetada de alguma forma, em decorrência da severidade do tempo, com transtornos em deslocamentos para o trabalho, na manutenção da vida pessoal e nos serviços domésticos, com a falta de Luz, também pela suspenção dos transportes no interior, em função da interrupção de estradas pela queda de barreiras e alagamentos. Com os custos adicionais na manutenção e perdas na produção agrícola, acarretando na queda de arrecadação, criou-se uma situação que acabou por gerar gasto dos recursos públicos oriundos dos impostos pagos por todos os cidadãos. Queremos ressaltar que as 278 pessoas que estão sendo assistidas pela Assistências Social, são cidadãs, cidadãos e crianças que fazem parte dos programas contínuos da Assistência Social e que não sofreram perdas no evento do dia 03 de novembro de 2023, más foram ressaltados pra demonstrar que trabalhos estão sendo realizados, segundo a própria Assistência.",0,0,0,0,0,0,0,0,5665,"Houve queda de barreira implicando o bloqueio de estradas com custo adicional da remoção e conserto da via. Também houve danos em calçamentos e drenagens de vias públicas. Teve danos em todas as estradas do interior, com a remoção de grande parte do pavimento cascalhado e britado gerando custos adicionais para a reposição desses materiais. Foram consertadas tubulações de passos veiculares, cabeceiras de pontes e pontilhões. Foi realocado um curso de estrada por conta do desmoronamento da mesma. Foram refeitas drenagens de sangas e riachos que atravessam vias públicas em vários pontos no interior do município.",0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,21,140855.34,140855.34,Não houve danos ambientais.,,,,,,"Foi interrompido parcialmente o transporte escolar nas vias de acesso ao interior nos dias 03 e 06 de novembro, concentrando o serviço de transporte escolar no entorno do perímetro urbano, acarretando prejuízo, uma vez que o transporte está sendo pago integralmente e o serviço está sendo prestado parcialmente, más entendendo que não se pode penalizar e culpabilizar os transportadores licitados por conta de eventos alheios à suas obrigações.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,140855.34,0.00,0.00,0.00,140855.34,"Segundo laudo da EMATER elaborado após reunião com a secretaria municipal de agricultura, a redução da produtividade das culturas de inverno a serem colhidas como sevada e trigo se deu por conta da perda de qualidade do grão em função de pragas relacionadas ao excesso de humidade e sombreamento nas lavouras por conta dos dias nublados e chuvosos. As culturas de verão recém plantadas também estão sendo prejudicadas pelo excesso de chuvas, que nas várzeas acabou lavando o solo levando sementes, adubo e uma boa parte do solo fértil, além do sombreamento ter prejudicado a germinação e o desenvolvimento saudável das plantas. Na pecuária a perda se deu por conta do excesso de humidade absorvida pelas pastagens, que reduziu o consumo por parte dos animais com os criadores, produtores de leite e carne, tendo que alimentá-los com maior quantidade de silagem, prejudicando o ganho de peso, a produtividade do leite e de carne.",7705814.48,2291947.94,0.00,0.00,0.00,9997762.42,10138617.76
