Protocolo_S2iD,Nome_Municipio,Sigla_UF,regiao,Data_Registro,Data_Evento,Cod_Cobrade,tipologia,descricao_tipologia,grupo_de_desastre,Cod_IBGE_Mun,Setores Censitários,Status,DH_Descricao,DH_MORTOS,DH_FERIDOS,DH_ENFERMOS,DH_DESABRIGADOS,DH_DESALOJADOS,DH_DESAPARECIDOS,DH_AFETADOS_SECA_ESTIAGEM,DH_total_danos_humanos_diretos,DH_OUTROS AFETADOS,DM_Descricao,DM_Uni Habita Danificadas,DM_Uni Habita Destruidas,DM_Uni Habita Valor,DM_Inst Saúde Danificadas,DM_Inst Saúde Destruidas,DM_Inst Saúde Valor,DM_Inst Ensino Danificadas,DM_Inst Ensino Destruidas,DM_Inst Ensino Valor,DM_Inst Serviços Danificadas,DM_Inst Serviços Destruidas,DM_Inst Serviços Valor,DM_Inst Comuni Danificadas,DM_Inst Comuni Destruidas,DM_Inst Comuni Valor,DM_Obras de Infra Danificadas,DM_Obras de Infra Destruidas,DM_Obras de Infra Valor,DM_total_danos_materiais,DA_Descricao,DA_Polui/cont da água,DA_Polui/cont do ar,DA_Polui/cont do solo,DA_Dimi/exauri hídrico,DA_Incêndi parques/APA's/APP's,PEPL_Descricao,PEPL_Assis_méd e emergên(R$),PEPL_Abast de água pot(R$),PEPL_sist de esgotos sanit(R$),PEPL_Sis limp e rec lixo (R$),PEPL_Sis cont pragas (R$),PEPL_distrib energia (R$),PEPL_Telecomunicações (R$),PEPL_Tran loc/reg/l_curso (R$),PEPL_Distrib combustíveis(R$),PEPL_Segurança pública (R$),PEPL_Ensino (R$),PEPL_total_publico,PEPR_Descricao,PEPR_Agricultura (R$),PEPR_Pecuária (R$),PEPR_Indústria (R$),PEPR_Comércio (R$),PEPR_Serviços (R$),PEPR_total_privado,PE_PLePR
RS-A-4306106-12200-20091210,Cruz Alta,RS,Sul,10/12/2009,10/12/2009,12200,2.00,Enxurradas,Hidrológico,4306106,,Reconhecido,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,106052,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,2929.77,0.00,0.00,0.00,0.00,0.00,2929.77,,57198100.74,0.00,0.00,0.00,0.00,57198100.74,57201030.50
RS-A-4314308-12200-20091210,Pejuçara,RS,Sul,10/12/2009,10/12/2009,12200,2.00,Enxurradas,Hidrológico,4314308,,Reconhecido,,0,0,0,0,0,0,0,0,0,,0,0,0.00,1,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,20574686.92,538344.37,0.00,0.00,0.00,21113031.29,21113031.29
RS-A-4311155-12200-20091210,Jóia,RS,Sul,10/12/2009,10/12/2009,12200,2.00,Enxurradas,Hidrológico,4311155,,Reconhecido,,0,0,0,0,0,0,0,0,0,,30,0,210943.10,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,210943.10,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,146488.26,146488.26,,14502338.19,0.00,0.00,0.00,0.00,14502338.19,14648826.45
RS-A-4321493-12100-20091210,Toropi,RS,Sul,10/12/2009,10/12/2009,12100,7.00,Inundações,Hidrológico,4321493,,Reconhecido,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,3,2,585953.06,585953.06,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,4476241.90,0.00,0.00,0.00,0.00,4476241.90,4476241.90
RS-A-4300208-12200-20091210,Ajuricaba,RS,Sul,10/12/2009,10/12/2009,12200,2.00,Enxurradas,Hidrológico,4300208,,Reconhecido,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,13,5,9495369.31,9495369.31,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1171906.12,540541.70,0.00,0.00,0.00,1712447.81,1712447.81
RS-A-4320107-12200-20091211,Sarandi,RS,Sul,11/12/2009,11/12/2009,12200,2.00,Enxurradas,Hidrológico,4320107,,Reconhecido,,0,0,0,0,0,0,0,0,0,,190,0,878929.59,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,23,0,18779502.53,19658432.12,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,3368058.18,0.00,0.00,0.00,0.00,3368058.18,3368058.18
RS-A-4302501-12200-20091211,Bossoroca,RS,Sul,11/12/2009,11/12/2009,12200,2.00,Enxurradas,Hidrológico,4302501,,Reconhecido,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,894,0,22612514.46,22612514.46,,,,,,,,0.00,0.00,129495.63,0.00,0.00,0.00,0.00,102541.79,0.00,0.00,19629.43,251666.84,,2843923.17,610856.06,0.00,0.00,0.00,3454779.23,3706446.07
RS-A-4313334-12200-20091212,Nova Ramada,RS,Sul,12/12/2009,12/12/2009,12200,2.00,Enxurradas,Hidrológico,4313334,,Reconhecido,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,24,547866.11,547866.11,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,720019.12,0.00,0.00,0.00,0.00,720019.12,720019.12
RS-A-4304655-12200-20091214,Capão do Cipó,RS,Sul,14/12/2009,14/12/2009,12200,2.00,Enxurradas,Hidrológico,4304655,,Reconhecido,,0,0,0,0,0,0,0,0,0,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,3,0,856956.35,856956.35,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,9190556.52,164799.30,0.00,0.00,0.00,9355355.82,9355355.82
RS-A-4313375-12200-20091216,Nova Santa Rita,RS,Sul,16/12/2009,16/12/2009,12200,2.00,Enxurradas,Hidrológico,4313375,,Reconhecido,,0,0,0,0,567,0,0,567,8710,,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,10745470.86,0.00,0.00,0.00,0.00,10745470.86,10745470.86
